
[Name]
pp1

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ], Turbulence Kinetic Energy [ m^2 s^-2 ], Velocity [ m s^-1 ]
-2.00000003e-01, 6.54644594e-02, -3.56875360e-01, -2.20993530e+02, 2.27316976e+00, 4.49982986e+01
-2.00000003e-01, 6.27911389e-02, -3.39647591e-01, -2.20773254e+02, 1.29772234e+00, 4.50020905e+01
-1.99999988e-01, 9.39221606e-02, -3.57487172e-01, -2.21060593e+02, 2.16998744e+00, 4.49936562e+01
-2.00000003e-01, 8.71173814e-02, -3.53998035e-01, -2.20994934e+02, 1.98351455e+00, 4.49957161e+01
-2.00000003e-01, 9.00760964e-02, -3.64212632e-01, -2.20944672e+02, 3.55343246e+00, 4.49936409e+01
-2.00000003e-01, 9.38625485e-02, -3.52098614e-01, -2.21174469e+02, 1.94257283e+00, 4.49951935e+01
-2.00000003e-01, 3.94650586e-02, -3.31604451e-01, -2.20237946e+02, 1.16557562e+00, 4.50399742e+01
-2.00000003e-01, 3.16582881e-02, -2.45304465e-01, -2.22073288e+02, 9.55109358e-01, 4.50151329e+01
-1.99999988e-01, 3.22695635e-02, -2.55594313e-01, -2.21367279e+02, 1.02212632e+00, 4.50236435e+01
-2.00000003e-01, 3.98965143e-02, -2.70323098e-01, -2.21175461e+02, 5.48461139e-01, 4.50454903e+01
-2.00000018e-01, 4.01606336e-02, -2.52237529e-01, -2.21491943e+02, 4.68928456e-01, 4.50556908e+01
-2.00000003e-01, 7.61317164e-02, -3.37496102e-01, -2.20406357e+02, 1.26311207e+00, 4.49915276e+01
-2.00000018e-01, 8.43755975e-02, -3.34435135e-01, -2.20614594e+02, 1.18337107e+00, 4.49907455e+01
-2.00000003e-01, 3.98756303e-02, -2.76412308e-01, -2.21056488e+02, 5.75076818e-01, 4.50436058e+01
-2.00000003e-01, 4.20118570e-02, -2.76145726e-01, -2.21013397e+02, 5.73392332e-01, 4.50404282e+01
-2.00000003e-01, 6.45547956e-02, -2.64599741e-01, -2.20788849e+02, 4.97208565e-01, 4.50201912e+01
-2.00000003e-01, 4.93485630e-02, -2.55749434e-01, -2.21280029e+02, 4.71308470e-01, 4.50417175e+01
-2.00000003e-01, 4.61957268e-02, -2.47787282e-01, -2.21863617e+02, 4.45062637e-01, 4.50539169e+01
-2.00000018e-01, 8.11912343e-02, -2.69642889e-01, -2.20753174e+02, 5.18790781e-01, 4.50141373e+01
-2.00000003e-01, 8.61251876e-02, -2.74861991e-01, -2.20635162e+02, 5.48114300e-01, 4.50087051e+01
-2.00000003e-01, 6.52457923e-02, -2.53215790e-01, -2.21419266e+02, 4.56093311e-01, 4.50241890e+01
-2.00000003e-01, 6.27778322e-02, -2.41954535e-01, -2.22239166e+02, 4.18163896e-01, 4.50390167e+01
-2.00000003e-01, 8.73783007e-02, -2.69574344e-01, -2.20771835e+02, 5.19584537e-01, 4.50108604e+01
-2.00000018e-01, 8.61776099e-02, -2.53662795e-01, -2.21244507e+02, 4.55660850e-01, 4.50188637e+01
-2.00000003e-01, 8.30338150e-02, -2.43671626e-01, -2.21599564e+02, 4.16843712e-01, 4.50236282e+01
-2.00000003e-01, 8.63346681e-02, -2.44289860e-01, -2.21336502e+02, 4.18110013e-01, 4.50200806e+01
-2.00000003e-01, 9.72961485e-02, -3.10964376e-01, -2.20360901e+02, 8.15795839e-01, 4.49964867e+01
-2.00000003e-01, 1.08430699e-01, -3.84662390e-01, -2.21411545e+02, 7.59375000e+00, 4.50000038e+01
-2.00000003e-01, 1.07718885e-01, -3.84662390e-01, -2.21391357e+02, 7.59375048e+00, 4.50000000e+01
-2.00000003e-01, 1.08246535e-01, -3.84371430e-01, -2.21406219e+02, 7.53184938e+00, 4.50000648e+01
-2.00000003e-01, 1.57713816e-01, -3.84662390e-01, -2.22702805e+02, 7.59375048e+00, 4.50000038e+01
-2.00000003e-01, 1.50099546e-01, -3.84662390e-01, -2.22455521e+02, 7.59375048e+00, 4.50000000e+01
-2.00000003e-01, 1.54287457e-01, -3.76278698e-01, -2.22391998e+02, 5.75130510e+00, 4.49995689e+01
-2.00000003e-01, 1.32791936e-01, -3.84662390e-01, -2.22306793e+02, 7.59375000e+00, 4.50000000e+01
-2.00000003e-01, 1.41711891e-01, -3.71610135e-01, -2.22228561e+02, 4.72532654e+00, 4.49993744e+01
-2.00000003e-01, 1.47003964e-01, -3.60835969e-01, -2.21957336e+02, 2.45361567e+00, 4.49970322e+01
-2.00000003e-01, 1.08993620e-01, -3.84662390e-01, -2.21424805e+02, 7.59375000e+00, 4.50000000e+01
-2.00000003e-01, 1.09615617e-01, -3.82653952e-01, -2.21430618e+02, 7.16039896e+00, 4.49998589e+01
-2.00000003e-01, 1.23445235e-01, -3.66043150e-01, -2.21800568e+02, 3.57634068e+00, 4.49988556e+01
-1.99999988e-01, 1.20606206e-01, -3.64196241e-01, -2.21587799e+02, 3.17783904e+00, 4.49987679e+01
-2.00000003e-01, 1.24713019e-01, -3.61507356e-01, -2.21673218e+02, 2.62111473e+00, 4.49979095e+01
-2.00000003e-01, 1.21322028e-01, -3.61228645e-01, -2.21538803e+02, 2.62281418e+00, 4.49972343e+01
-2.00000003e-01, 1.10238232e-01, -3.59888315e-01, -2.21397415e+02, 2.45851803e+00, 4.49956779e+01
-2.00000003e-01, 1.42365396e-01, -3.41354132e-01, -2.21769058e+02, 1.46794128e+00, 4.49897537e+01
-2.00000003e-01, 1.33573890e-01, -3.46951246e-01, -2.21692108e+02, 1.81133926e+00, 4.49920692e+01
-2.00000003e-01, 1.59736693e-01, -3.61897528e-01, -2.22429016e+02, 2.46611691e+00, 4.50004730e+01
-2.00000003e-01, 1.40832424e-01, -3.37836176e-01, -2.21750854e+02, 1.27618098e+00, 4.49887314e+01
-2.00000003e-01, 1.68292463e-01, -3.41704965e-01, -2.22460709e+02, 1.46866477e+00, 4.49963722e+01
-2.00000003e-01, 1.64373562e-01, -3.40301305e-01, -2.22343094e+02, 1.40220284e+00, 4.49949722e+01
-2.00000003e-01, 1.68261766e-01, -3.40751648e-01, -2.22448090e+02, 1.42375696e+00, 4.49960785e+01
-2.00000003e-01, 1.20286897e-01, -3.54832888e-01, -2.21284897e+02, 2.30502772e+00, 4.49948769e+01
-2.00000003e-01, 1.07083187e-01, -3.33009243e-01, -2.20711182e+02, 1.14614379e+00, 4.49930725e+01
-2.00000018e-01, 1.42815843e-01, -3.37320000e-01, -2.21757385e+02, 1.26139688e+00, 4.49888229e+01
-2.00000003e-01, 1.47512063e-01, -3.26283514e-01, -2.21356567e+02, 1.06627190e+00, 4.49871216e+01
-2.00000003e-01, 1.16208941e-01, -3.26097459e-01, -2.20720917e+02, 1.04856825e+00, 4.49900360e+01
