
[Name]
inlet

[Data]
X [ m ], Y [ m ], Z [ m ]
4.66316998e-01, 9.74375129e-01, -5.05765021e-01
4.88002092e-01, 1.00225997e+00, -5.05765021e-01
-1.77901480e-02, 1.12012696e+00, -5.05765021e-01
1.57548618e-02, 1.11686432e+00, -5.05765021e-01
-1.47800229e-03, 1.08888936e+00, -5.05765021e-01
4.89726901e-01, 9.45767701e-01, -5.05765021e-01
7.74688542e-01, 1.09335673e+00, -5.05765021e-01
7.52790272e-01, 1.11154199e+00, -5.05765021e-01
7.87670791e-01, 1.12214589e+00, -5.05765021e-01
3.09352726e-01, 1.96670830e-01, -5.05765021e-01
-7.13973880e-01, 3.52477044e-01, -5.05765021e-01
-6.88707292e-01, 3.66788566e-01, -5.05765021e-01
-6.79423511e-01, 3.38151217e-01, -5.05765021e-01
-5.17424881e-01, 6.05254948e-01, -5.05765021e-01
-5.42462468e-01, 5.94599485e-01, -5.05765021e-01
-2.58482844e-01, 1.01974726e+00, -5.05765021e-01
-2.76600569e-01, 9.94482040e-01, -5.05765021e-01
-2.77224869e-01, 1.02115881e+00, -5.05765021e-01
7.63560534e-01, 8.10802817e-01, -5.05765021e-01
-2.11958617e-01, 8.03072155e-02, -5.05765021e-01
-1.90486461e-01, 5.53847402e-02, -5.05765021e-01
-2.23200902e-01, 5.80681637e-02, -5.05765021e-01
-6.66330457e-01, 3.79920185e-01, -5.05765021e-01
-6.85768485e-01, 3.97620410e-01, -5.05765021e-01
3.17977369e-02, 1.09115505e+00, -5.05765021e-01
-3.59362178e-02, 1.08970964e+00, -5.05765021e-01
5.21849751e-01, 1.00093281e+00, -5.05765021e-01
4.55404401e-01, 2.60958850e-01, -5.05765021e-01
4.28832710e-01, 2.64321774e-01, -5.05765021e-01
4.50962573e-01, 2.85773814e-01, -5.05765021e-01
4.06656295e-01, 6.42198145e-01, -5.05765021e-01
4.31714535e-01, 6.52532399e-01, -5.05765021e-01
-3.62765968e-01, 1.00955844e+00, -5.05765021e-01
-3.71701986e-01, 1.04026008e+00, -5.05765021e-01
-3.42968911e-01, 1.02837384e+00, -5.05765021e-01
7.45531097e-02, 1.01888680e+00, -5.05765021e-01
-4.66898859e-01, 4.27122593e-01, -5.05765021e-01
-4.68326956e-01, 4.57417786e-01, -5.05765021e-01
-4.42253381e-01, 4.42709327e-01, -5.05765021e-01
-5.22356816e-02, 1.11545730e+00, -5.05765021e-01
-3.91752899e-01, 1.01241577e+00, -5.05765021e-01
-5.36238432e-01, 4.74530995e-01, -5.05765021e-01
-5.41538537e-01, 5.06162405e-01, -5.05765021e-01
-5.06082892e-01, 4.88757938e-01, -5.05765021e-01
-6.58808351e-02, 1.08951426e+00, -5.05765021e-01
-1.56814948e-01, 5.75216375e-02, -5.05765021e-01
-1.68363616e-01, 7.89889991e-02, -5.05765021e-01
-4.89826977e-01, 6.86095417e-01, -5.05765021e-01
-4.63276625e-01, 6.76174581e-01, -5.05765021e-01
-4.86299187e-01, 6.63814723e-01, -5.05765021e-01
-5.76439679e-01, 2.60170668e-01, -5.05765021e-01
-5.61012208e-01, 2.38035485e-01, -5.05765021e-01
-5.89383721e-01, 2.33248189e-01, -5.05765021e-01
-5.30114889e-01, 8.12162042e-01, -5.05765021e-01
-5.49864709e-01, 8.39487195e-01, -5.05765021e-01
-5.16925275e-01, 8.39729309e-01, -5.05765021e-01
-4.20563966e-01, 1.01712191e+00, -5.05765021e-01
-4.11803842e-01, 9.84571576e-01, -5.05765021e-01
2.40718573e-02, 7.93531477e-01, -5.05765021e-01
5.81503771e-02, 8.03736985e-01, -5.05765021e-01
5.00861444e-02, 7.72455990e-01, -5.05765021e-01
-6.61369920e-01, 4.05986756e-01, -5.05765021e-01
2.17875335e-02, 1.01900148e+00, -5.05765021e-01
-6.36621892e-01, 2.07396865e-01, -5.05765021e-01
-6.15955234e-01, 9.26237404e-01, -5.05765021e-01
-6.11703157e-01, 9.54031646e-01, -5.05765021e-01
-5.88642418e-01, 9.31518674e-01, -5.05765021e-01
5.46053290e-01, 6.07275128e-01, -5.05765021e-01
5.64291418e-01, 5.89121521e-01, -5.05765021e-01
5.40134847e-01, 5.81277370e-01, -5.05765021e-01
7.89168477e-02, 7.84906268e-01, -5.05765021e-01
-7.61819303e-01, 2.96701431e-01, -5.05765021e-01
-7.60209501e-01, 3.27412814e-01, -5.05765021e-01
-7.33975172e-01, 3.09357256e-01, -5.05765021e-01
5.45060754e-01, 8.85482728e-01, -5.05765021e-01
-7.34969020e-01, 2.79177427e-01, -5.05765021e-01
-7.02899396e-01, 2.89380878e-01, -5.05765021e-01
-7.61082053e-01, 2.65198648e-01, -5.05765021e-01
-6.80730283e-01, 4.29801077e-01, -5.05765021e-01
8.49692598e-02, 8.11258674e-01, -5.05765021e-01
-6.06862545e-01, 4.83898312e-01, -5.05765021e-01
-5.84902763e-01, 4.58919108e-01, -5.05765021e-01
-6.08650506e-01, 4.50948060e-01, -5.05765021e-01
1.09261014e-01, 7.93452978e-01, -5.05765021e-01
2.01000735e-01, 5.21082044e-01, -5.05765021e-01
-4.57745820e-01, 9.50583339e-01, -5.05765021e-01
-4.83438849e-01, 9.36525226e-01, -5.05765021e-01
-4.84649032e-01, 9.64587450e-01, -5.05765021e-01
6.87953413e-01, 1.91148981e-01, -5.05765021e-01
6.93593442e-01, 2.17744067e-01, -5.05765021e-01
7.18145430e-01, 1.97261900e-01, -5.05765021e-01
7.43633270e-01, 1.82914093e-01, -5.05765021e-01
7.52754688e-01, 2.09284186e-01, -5.05765021e-01
-6.54339850e-01, 4.35184181e-01, -5.05765021e-01
-5.37127614e-01, 1.53427809e-01, -5.05765021e-01
-5.51087022e-01, 1.25475511e-01, -5.05765021e-01
-5.66839159e-01, 1.50684610e-01, -5.05765021e-01
-5.23292243e-01, 1.12349081e+00, -5.05765021e-01
