
[Name]
Plane 3

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ], Turbulence Kinetic Energy [ m^2 s^-2 ], Velocity [ m s^-1 ]
-2.00000003e-01, 2.04448745e-01, -3.47938746e-01, 1.15909187e+02, 3.13464820e-01, 2.99136925e+01
-2.00000003e-01, 2.45190784e-01, -3.92551392e-01, 1.12610138e+02, 5.29106557e-01, 2.99580040e+01
-2.00000003e-01, 2.42557585e-01, -3.96186560e-01, 1.12652824e+02, 5.46813667e-01, 2.99594231e+01
-2.00000018e-01, 2.12115660e-01, -3.47650349e-01, 1.15683456e+02, 3.13958049e-01, 2.99120331e+01
-2.00000003e-01, 2.49917746e-01, -3.95611286e-01, 1.12364807e+02, 5.41150272e-01, 2.99582424e+01
-2.00000003e-01, 2.66451955e-01, -4.12634075e-01, 1.11127151e+02, 7.73578405e-01, 2.99681072e+01
-2.00000003e-01, 3.04955065e-01, -4.30981398e-01, 1.08691307e+02, 1.01451659e+00, 2.99783497e+01
-2.00000003e-01, 3.03035259e-01, -3.99046421e-01, 1.09462906e+02, 5.65005779e-01, 2.99589062e+01
-2.00000018e-01, 2.97128618e-01, -4.40714717e-01, 1.08810760e+02, 1.14042258e+00, 2.99854069e+01
-2.00000003e-01, 3.13838005e-01, -2.41574734e-01, 1.22698959e+02, 1.72043771e-01, 2.95879498e+01
-2.00000003e-01, 3.42720926e-01, -2.71051943e-01, 1.16770386e+02, 2.04457179e-01, 2.96955166e+01
-2.00000003e-01, 3.25267136e-01, -2.16036856e-01, 1.22306633e+02, 1.48531675e-01, 2.95730915e+01
-2.00000003e-01, 2.91657925e-01, -2.16434047e-01, 1.23211136e+02, 1.47617787e-01, 2.96082191e+01
-2.00000003e-01, 2.30071008e-01, -2.44886041e-01, 1.21376434e+02, 1.71328560e-01, 2.97546234e+01
-2.00000003e-01, 2.33336657e-01, -2.01414436e-01, 1.25616928e+02, 1.39724165e-01, 2.96334972e+01
-2.00000018e-01, 2.57389396e-01, -2.06155673e-01, 1.29626373e+02, 1.41511500e-01, 2.94837189e+01
-2.00000003e-01, 2.06995577e-01, -2.11936533e-01, 1.22897896e+02, 1.46430612e-01, 2.97401314e+01
-2.00000003e-01, 2.41542771e-01, -2.64912486e-01, 1.20878731e+02, 1.90504611e-01, 2.97520561e+01
-1.99999988e-01, 2.88517833e-01, -2.82114893e-01, 1.18178787e+02, 2.11916089e-01, 2.97356911e+01
-2.00000003e-01, 3.38197321e-01, -2.93909252e-01, 1.13677032e+02, 2.27643549e-01, 2.97803726e+01
-2.00000003e-01, 3.50056261e-01, -2.92607456e-01, 1.12902489e+02, 2.26218075e-01, 2.97770863e+01
-2.00000003e-01, 3.48925412e-01, -3.08048129e-01, 1.11095680e+02, 2.54183531e-01, 2.98308277e+01
-2.00000003e-01, 2.87339717e-01, -3.21850330e-01, 1.13190857e+02, 2.78310001e-01, 2.98697987e+01
-2.00000003e-01, 2.90138900e-01, -3.46781492e-01, 1.12371796e+02, 3.14857364e-01, 2.98929443e+01
-2.00000003e-01, 3.29895198e-01, -3.12138408e-01, 1.11857475e+02, 2.58720040e-01, 2.98410816e+01
-2.00000003e-01, 3.18015724e-01, -3.54817450e-01, 1.10152748e+02, 3.36568773e-01, 2.99049835e+01
-1.99999988e-01, 3.48389238e-01, -3.54182571e-01, 1.08616638e+02, 3.40346336e-01, 2.98968906e+01
-2.00000003e-01, 2.07550079e-01, -3.37777048e-01, 1.15801178e+02, 2.95874596e-01, 2.99119911e+01
-2.00000003e-01, 2.84563422e-01, -3.67540061e-01, 1.12015701e+02, 4.03920174e-01, 2.99090500e+01
-2.00000003e-01, 3.32036078e-01, -3.83611202e-01, 1.08022125e+02, 4.83946323e-01, 2.99492016e+01
-2.00000018e-01, 1.62749931e-01, -4.40283269e-01, 1.14540947e+02, 1.36140990e+00, 2.99925919e+01
-2.00000003e-01, 1.90562189e-01, -4.11976486e-01, 1.14086876e+02, 7.36658156e-01, 2.99746742e+01
-2.00000003e-01, 3.28526229e-01, -4.13560480e-01, 1.07360184e+02, 7.81624198e-01, 2.99717236e+01
-2.00000003e-01, 3.10792595e-01, -4.40306038e-01, 1.07926483e+02, 1.18450797e+00, 2.99867973e+01
-2.00000003e-01, 2.46423498e-01, -4.05272841e-01, 1.12305664e+02, 6.80855036e-01, 2.99634209e+01
-1.99999988e-01, 2.59045988e-01, -4.40949142e-01, 1.10618629e+02, 1.15449882e+00, 2.99848938e+01
-2.00000003e-01, 2.38858670e-01, -4.02799845e-01, 1.12651459e+02, 6.46129608e-01, 2.99623013e+01
-2.00000003e-01, 2.07955882e-01, -4.41087723e-01, 1.12733658e+02, 1.19096828e+00, 2.99879150e+01
-1.99999988e-01, 2.35222727e-01, -4.41214442e-01, 1.11728844e+02, 1.19143856e+00, 2.99865265e+01
-1.99999988e-01, 3.04638833e-01, -4.50232804e-01, 1.08222275e+02, 1.71037030e+00, 2.99894257e+01
-1.99999988e-01, 2.82391459e-01, -4.54507470e-01, 1.09407593e+02, 1.96439636e+00, 2.99910164e+01
-2.00000003e-01, 2.49352157e-01, -4.62292731e-01, 1.10919167e+02, 2.42953014e+00, 2.99938278e+01
-2.00000003e-01, 2.19808921e-01, -4.66197878e-01, 1.12190811e+02, 2.66099191e+00, 2.99953270e+01
-2.00000003e-01, 2.04421237e-01, -4.68913972e-01, 1.12746071e+02, 2.82425666e+00, 2.99970150e+01
-2.00000003e-01, 1.95396334e-01, -4.78244543e-01, 1.12930679e+02, 3.37500000e+00, 3.00000000e+01
-2.00000003e-01, 2.08955213e-01, -4.78244513e-01, 1.12468239e+02, 3.37500000e+00, 3.00000000e+01
-2.00000003e-01, 2.43401721e-01, -4.78244513e-01, 1.10904114e+02, 3.37500000e+00, 3.00000000e+01
-2.00000018e-01, 2.58653760e-01, -4.78244483e-01, 1.10203987e+02, 3.37500000e+00, 3.00000000e+01
-2.00000003e-01, 3.00627559e-01, -4.78244513e-01, 1.07770729e+02, 3.37500000e+00, 3.00000000e+01
-2.00000003e-01, 3.22473913e-01, -4.78244483e-01, 1.06470581e+02, 3.37500000e+00, 3.00000000e+01
-2.00000003e-01, 2.50898123e-01, -3.22522849e-01, 1.16364555e+02, 2.65254110e-01, 2.98534164e+01
-2.00000003e-01, 2.52034575e-01, -3.24116051e-01, 1.16212852e+02, 2.67303228e-01, 2.98553658e+01
-2.00000003e-01, 2.52319843e-01, -3.24878752e-01, 1.16088219e+02, 2.68706858e-01, 2.98581448e+01
-2.00000003e-01, 2.49619424e-01, -3.25587183e-01, 1.16140541e+02, 2.69994050e-01, 2.98601818e+01
-2.00000003e-01, 2.51333535e-01, -3.24221283e-01, 1.16206085e+02, 2.67450064e-01, 2.98565102e+01
-2.00000003e-01, 2.51660675e-01, -3.24571013e-01, 1.16150024e+02, 2.68051803e-01, 2.98575764e+01
-2.00000003e-01, 2.51148134e-01, -3.31091195e-01, 1.15813286e+02, 2.93465614e-01, 2.98670540e+01
-2.00000003e-01, 4.76002414e-03, -4.10325034e-03, 8.41750793e+01, 3.47723508e+00, 2.51392002e+01
-2.00000003e-01, 8.15202761e-03, -1.84826236e-02, 8.98050385e+01, 3.04084468e+00, 2.92870846e+01
-2.00000003e-01, 4.23053559e-03, -1.21684615e-02, 8.68579254e+01, 3.59510016e+00, 2.31701393e+01
-2.00000003e-01, -2.00000009e-03, -7.45349564e-04, 8.68495941e+01, 4.29333973e+00, 0.00000000e+00
-2.00000003e-01, -2.00000009e-03, 2.02887356e-02, 8.40109024e+01, 4.76902199e+00, 0.00000000e+00
-2.00000003e-01, 2.49482505e-03, 3.31134535e-03, 8.43321915e+01, 4.29027462e+00, 1.67153721e+01
-1.99999988e-01, 4.26040776e-03, 6.45864289e-03, 8.45886612e+01, 3.61826372e+00, 2.32812271e+01
-2.00000003e-01, 2.05535851e-02, 2.05485169e-02, 8.31233139e+01, 2.09213305e+00, 2.74205112e+01
-2.00000003e-01, 1.96580384e-02, 2.52441354e-02, 8.33872833e+01, 2.22290087e+00, 2.63317108e+01
-1.99999988e-01, -2.00000009e-03, 6.77731931e-02, 8.79289017e+01, 3.27337742e+00, 0.00000000e+00
-2.00000003e-01, -2.00000009e-03, 4.38271202e-02, 8.65247879e+01, 4.17463255e+00, 0.00000000e+00
-2.00000003e-01, 1.23135624e-02, -2.49197800e-02, 9.22102051e+01, 2.45859814e+00, 2.95498219e+01
-2.00000003e-01, 2.09119227e-02, -4.95758206e-02, 9.81964874e+01, 1.28066719e+00, 3.00962696e+01
